samplename	var_	count	acc_var_	original_varname	acc_varname	groupid
Pardoe_c92	12	100	12	Betula	Betula	TRSH
Pardoe_c92	75	556	75	Pinus	Pinus	TRSH
Pardoe_c92	80	75	80	Poaceae	Poaceae	HERB
Pardoe_c92	33	7	33	Cyperaceae	Cyperaceae	HERB
Pardoe_c92	739	2	739	Empetrum	Empetrum nigrum	DWAR
Pardoe_c92	744	3	744	Leguminosae	Leguminosae	HERB
Pardoe_c92	745	6	241	Oxyria	Oxyria digyna	HERB
Pardoe_c92	7	2	7	Artemisia	Artemisia	HERB
Pardoe_c92	751	1	184	Lycopodium selago	Huperzia selago	VACR
Pardoe_c92	5	10	5	Alnus	Alnus	TRSH
Pardoe_c92	24	1	24	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB
Pardoe_c92	126	66	126	Picea	Picea	TRSH
Pardoe_c92	201	3	31	Corylus	Corylus	TRSH
