samplename	var_	count	acc_var_	original_varname	acc_varname	groupid
Novenko_c298	5	15	5	Alnus	Alnus	TRSH
Novenko_c298	2257	250	128	Betula alba	Betula pubescens-type	TRSH
Novenko_c298	126	12	126	Picea	Picea	TRSH
Novenko_c298	788	246	125	Pinus sylvestris	Pinus sylvestris-type	TRSH
Novenko_c298	189	2	189	Quercus	Quercus	TRSH
Novenko_c298	154	2	154	Ulmus	Ulmus/Zelkova	TRSH
Novenko_c298	7	3	7	Artemisia	Artemisia	HERB
Novenko_c298	24	2	24	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB
Novenko_c298	80	1	80	Poaceae	Poaceae	HERB
Novenko_c298	92	2	92	Rosaceae	Rosaceae	TRSH
Novenko_c298	201	2	31	Corylus	Corylus	TRSH
