samplename	original_varname	acc_varname	groupid	count	percentage	notes
Tarasov_a116	Abies	Abies	TRSH	2.04	2.04	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Tarasov_a116	Alnus	Alnus	TRSH	28.57	28.57	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Tarasov_a116	Betula	Betula	TRSH	1.02	1.02	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Tarasov_a116	Carpinus	Carpinus betulus	TRSH	1.02	1.02	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Tarasov_a116	Fagus	Fagus	TRSH	37.76	37.76	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Tarasov_a116	Fraxinus	Fraxinus	TRSH	5.1	5.1	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Tarasov_a116	Juglans	Juglans	TRSH	2.04	2.04	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Tarasov_a116	Pinus	Pinus	TRSH	9.19	9.19	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Tarasov_a116	Quercus deciduous	Quercus robur-type	TRSH	11.22	11.22	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Tarasov_a116	Ulmus	Ulmus/Zelkova	TRSH	2.04	2.04	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
