samplename	originalsamplename	sitename	country	longitude	latitude	elevation	locationreliability	locationnotes	areaofsite	samplecontext	sitedescription	vegdescription	sampletype	samplemethod	agebp	ageuncertainty	ispercent	notes	okexcept	empd_version
Atanassova_a1	N1-2002	Mt Shipchenska	Bulgaria	25.341389	42.741111	1310				treeless vegetation		Local vegetation: Mountain grass vegetation – Poaceae with Epilobium angustifolium, Hypericum perforatum, Stachys germanica ssp. bulgarica,  Viola tricolor, Centaurea phrygia, Artemisia vulgaris, Achillea millefolium, Senecio rupestris, Galium album, Silene vulgaris, Thymus sp., Verbascum sp. Regional vegetation: Fagus forest dominate.	moss	hand picking - multiple samples	-52	A	f			EMPD2
Atanassova_a2	N2 - 2002	Mt Shipchenska	Bulgaria	25.3275	42.755556	1195				open forest		Local vegetation: Medow – Poaceae with Hypericum perforatum, Achillea millefolium, Campanula sparsa, Fragaria vesca, Tussilago farfara, Colchicum autumnale, Euphorbia cyparissias, Galium verum, Thymus sp., surrounded by Fagus forest with Picea abies, Acer pseudoplatanus, Betula pendula, Corylus avellana, Pinus nigra, Crataegus monogyna. Regional vegetation: Fagus forest dominate.	moss	hand picking - multiple samples	-52	A	f			EMPD2
Atanassova_a3	N3 - 2002	Mt Shipchenska	Bulgaria	25.3275	42.76	1061				closed forest		Local vegetation: Fagus forest with Picea abies. Rubus idaeus, Sambucus nigra, Corylus avellana. Regional vegetation: Fagus forest dominate	moss	hand picking - multiple samples	-52	A	f			EMPD2
Atanassova_a4	N4 - 2002	Mt Shipchenska	Bulgaria	25.340833	42.720556	895				closed forest		Local vegetation: Mixed deciduous forest  - Quercus daleshampii, Tilia cordata, Fagus sylvatica, Betula pendula, Robinia pseudoacacia, Rosa canina, Crataegus monogyna,Corylus avellana,  Pinus nigra. Regional vegetation: Mixed deciduous forest.	moss	hand picking - multiple samples	-52	A	f			EMPD2
Atanassova_a5	N5 - 2002	Mt Shipchenska	Bulgaria	25.337222	42.724444	639		Two difference elevation values are reported in ref paper: 690m (under Materials and methods) and 639m (figures).		closed forest		Local vegetation: Mixed deciduous forest  Robinia pseudoacacia, Ulmus  glabra, Betula pendula, Carpinus betulus, Crataegus monogyna, close to Pinus sylvestris forest. Regional vegetation: Mixed deciduous forest.	moss	hand picking - multiple samples	-52	A	f			EMPD2
Atanassova_b1	N1 - 2003	Mt Shipchenska	Bulgaria	25.341389	42.741111	1310				treeless vegetation		Local vegetation: Mountain grass vegetation – Poaceae with Epilobium angustifolium, Hypericum perforatum, Stachys germanica ssp. bulgarica,  Viola tricolor, Centaurea phrygia, Artemisia vulgaris, Achillea millefolium, Senecio rupestris, Galium album, Silene vulgaris, Thymus sp., Verbascum sp. Regional vegetation: Fagus forest dominate.	moss	hand picking - multiple samples	-53	A	f			EMPD2
Atanassova_b2	N2 - 2003	Mt Shipchenska	Bulgaria	25.3275	42.755556	1195				open forest		Local vegetation: Medow – Poaceae with Hypericum perforatum, Achillea millefolium, Campanula sparsa, Fragaria vesca, Tussilago farfara, Colchicum autumnale, Euphorbia cyparissias, Galium verum, Thymus sp., surrounded by Fagus forest with Picea abies, Acer pseudoplatanus, Betula pendula, Corylus avellana, Pinus nigra, Crataegus monogyna. Regional vegetation: Fagus forest dominate.	moss	hand picking - multiple samples	-53	A	f			EMPD2
Atanassova_b3	N3 - 2003	Mt Shipchenska	Bulgaria	25.3275	42.76	1061				closed forest		Local vegetation: Fagus forest with Picea abies. Rubus idaeus, Sambucus nigra, Corylus avellana. Regional vegetation: Fagus forest dominate	moss	hand picking - multiple samples	-53	A	f			EMPD2
Atanassova_b4	N4 - 2003	Mt Shipchenska	Bulgaria	25.340833	42.720556	895				closed forest		Local vegetation: Mixed deciduous forest  - Quercus daleshampii, Tilia cordata, Fagus sylvatica, Betula pendula, Robinia pseudoacacia, Rosa canina, Crataegus monogyna,Corylus avellana,  Pinus nigra. Regional vegetation: Mixed deciduous forest.	moss	hand picking - multiple samples	-53	A	f			EMPD2
Atanassova_b5	N5 - 2003	Mt Shipchenska	Bulgaria	25.337222	42.724444	639		Two difference elevation values are reported in ref paper: 690m (under Materials and methods) and 639m (figures).		closed forest		Local vegetation: Mixed deciduous forest  Robinia pseudoacacia, Ulmus  glabra, Betula pendula, Carpinus betulus, Crataegus monogyna, close to Pinus sylvestris forest. Regional vegetation: Mixed deciduous forest.	moss	hand picking - multiple samples	-53	A	f			EMPD2
Atanassova_c1	N1 - 2004	Mt Shipchenska	Bulgaria	25.341389	42.741111	1310				treeless vegetation		Local vegetation: Mountain grass vegetation – Poaceae with Epilobium angustifolium, Hypericum perforatum, Stachys germanica ssp. bulgarica,  Viola tricolor, Centaurea phrygia, Artemisia vulgaris, Achillea millefolium, Senecio rupestris, Galium album, Silene vulgaris, Thymus sp., Verbascum sp. Regional vegetation: Fagus forest dominate.	moss	hand picking - multiple samples	-54	A	f			EMPD2
Atanassova_c2	N2 - 2004	Mt Shipchenska	Bulgaria	25.3275	42.755556	1195				open forest		Local vegetation: Medow – Poaceae with Hypericum perforatum, Achillea millefolium, Campanula sparsa, Fragaria vesca, Tussilago farfara, Colchicum autumnale, Euphorbia cyparissias, Galium verum, Thymus sp., surrounded by Fagus forest with Picea abies, Acer pseudoplatanus, Betula pendula, Corylus avellana, Pinus nigra, Crataegus monogyna. Regional vegetation: Fagus forest dominate.	moss	hand picking - multiple samples	-54	A	f			EMPD2
Atanassova_c3	N3 - 2004	Mt Shipchenska	Bulgaria	25.3275	42.76	1061				closed forest		Local vegetation: Fagus forest with Picea abies. Rubus idaeus, Sambucus nigra, Corylus avellana. Regional vegetation: Fagus forest dominate	moss	hand picking - multiple samples	-54	A	f			EMPD2
Atanassova_c4	N4 - 2004	Mt Shipchenska	Bulgaria	25.340833	42.720556	895				closed forest		Local vegetation: Mixed deciduous forest  - Quercus daleshampii, Tilia cordata, Fagus sylvatica, Betula pendula, Robinia pseudoacacia, Rosa canina, Crataegus monogyna,Corylus avellana,  Pinus nigra. Regional vegetation: Mixed deciduous forest.	moss	hand picking - multiple samples	-54	A	f			EMPD2
Atanassova_c5	N5 - 2004	Mt Shipchenska	Bulgaria	25.337222	42.724444	639		Two difference elevation values are reported in ref paper: 690m (under Materials and methods) and 639m (figures).		closed forest		Local vegetation: Mixed deciduous forest  Robinia pseudoacacia, Ulmus  glabra, Betula pendula, Carpinus betulus, Crataegus monogyna, close to Pinus sylvestris forest. Regional vegetation: Mixed deciduous forest.	moss	hand picking - multiple samples	-54	A	f			EMPD2
Atanassova_d1	N2 - 2005	Mt Shipchenska	Bulgaria	25.3275	42.755556	1195				open forest		Local vegetation: Medow – Poaceae with Hypericum perforatum, Achillea millefolium, Campanula sparsa, Fragaria vesca, Tussilago farfara, Colchicum autumnale, Euphorbia cyparissias, Galium verum, Thymus sp., surrounded by Fagus forest with Picea abies, Acer pseudoplatanus, Betula pendula, Corylus avellana, Pinus nigra, Crataegus monogyna. Regional vegetation: Fagus forest dominate.	moss	hand picking - multiple samples	-55	A	f			EMPD2
Atanassova_d2	N3 - 2005	Mt Shipchenska	Bulgaria	25.3275	42.76	1061				closed forest		Local vegetation: Fagus forest with Picea abies. Rubus idaeus, Sambucus nigra, Corylus avellana. Regional vegetation: Fagus forest dominate	moss	hand picking - multiple samples	-55	A	f			EMPD2
Barboni_a969	LX19	Littox	Spain	-2.02	36.85	60											f			EMPD2
Bakker_a1	SA09JB01	Gravgaz Marsh	Turkey	30.401436	37.591179	1241	A	Responsible author has checked locations and assures these are correct (BD)		scattered trees/shrubs		open Q. coccifera shrubland	moss				f			EMPD2
Bakker_a10	SA10JB14	Bereket Basin	Turkey	30.297804	37.550905	1486	A	Responsible author has checked locations and assures these are correct (BD)		open forest		Open pine/juniper forest on hill slope north of the basin	moss				f			EMPD2
Bakker_a11	SA10JB15	Bereket Basin	Turkey	30.300453	37.546514	1449	A	Responsible author has checked locations and assures these are correct (BD)		treeless vegetation		Open steppe with sparse Juniperus vegetation facing the pine/juniper forest across the basin	moss				f			EMPD2
Bakker_a12	SA10JB19	Bereket Basin	Turkey	30.290816	37.538868	1427	A	Responsible author has checked locations and assures these are correct (BD)		arable		Fields and herbacious roadside vegetation with open juniper woodlands nearby	soil				f			EMPD2
Bakker_a13	SA10JB21	Bereket Basin	Turkey	30.284311	37.5388	1446	A	Responsible author has checked locations and assures these are correct (BD)		arable		Fields and herbacious roadside vegetation with open juniper woodlands nearby	moss				f			EMPD2
Bakker_a14	SA10JB23	Beskavac	Turkey	30.368871	37.568253	1348	A	Responsible author has checked locations and assures these are correct (BD)		treeless vegetation		Open herbacious vegetation surrounded by open Q. coccifera shrubs on top of exposed hill	moss				f			EMPD2
Bakker_a15	SA10JB30	Canakli	Turkey	30.622577	37.566754	1034	A	Responsible author has checked locations and assures these are correct (BD)		arable		Fields and herbacious roadside vegetation. Juniper woodlands to the south. Pine forest to the east	moss				f			EMPD2
Bakker_a16	SA10JB33	Ovacik	Turkey	30.385371	37.547705	1312	A	Responsible author has checked locations and assures these are correct (BD)		arable		Southern edge of agricultural fields. Near open Quercus shrubs on hillside	moss				f			EMPD2
Bakker_a2	SA09JB07	Gravgaz Marsh	Turkey	30.380378	37.591353	1284	A	Responsible author has checked locations and assures these are correct (BD)		scattered trees/shrubs		open Q. coccifera shrubland and steppe inbetween fields	moss				f			EMPD2
Bakker_a3	SA10JB02	Gravgaz Marsh	Turkey	30.41412	37.57448	1251	A	Responsible author has checked locations and assures these are correct (BD)		scattered trees/shrubs		open Q. coccifera shrubland between argiculture in the valley bottom and open Pinus forests on the upper slopes	moss				f			EMPD2
Bakker_a4	SA10JB03	Gravgaz Marsh	Turkey	30.407665	37.566355	1264	A	Responsible author has checked locations and assures these are correct (BD)		treeless vegetation		Open steppe with sparse Juniperus vegetation	moss				f			EMPD2
Bakker_a5	SA10JB04	Gravgaz Marsh	Turkey	30.40911	37.56973	1236	A	Responsible author has checked locations and assures these are correct (BD)		pasture		In the middle of fallow fields overgrown with Asteraceae	soil				f			EMPD2
Bakker_a6	SA10JB05	Gravgaz Marsh	Turkey	30.393515	37.589715	1268	A	Responsible author has checked locations and assures these are correct (BD)		scattered trees/shrubs		open Q. coccifera shrubland	moss				f			EMPD2
Bakker_a7	SA10JB06	Gravgaz Marsh	Turkey	30.40608	37.585288	1217	A	Responsible author has checked locations and assures these are correct (BD)		wetland		Middle of a swamp. Local vegetation characterized by sedges	soil				f			EMPD2
Bakker_a8	SA10JB09	Gravgaz Marsh	Turkey	30.39121	37.589223	1264	A	Responsible author has checked locations and assures these are correct (BD)		scattered trees/shrubs		open Q. coccifera shrubland	moss				f			EMPD2
Bakker_a9	SA10JB11	Gravgaz Marsh	Turkey	30.403755	37.58995	1237	A	Responsible author has checked locations and assures these are correct (BD)		arable		Fallow/vicia fields	moss				f			EMPD2
Bakker_b1	SpectNum1	Baskoy	Turkey	30.473967	37.660017	1316	A	Responsible author has checked locations and assures these are correct (BD)		scattered trees/shrubs		Herbacious vegetation between fields	moss				f			EMPD2
Bakker_b10	SpectNum10	Gravgaz Marsh	Turkey	30.4046	37.5628	1430	A	Responsible author has checked locations and assures these are correct (BD)		scattered trees/shrubs		Open herbacious vegetation aboce Quercus coccifera maquis	moss				f			EMPD2
Bakker_b11	SpectNum11	Gravgaz Marsh	Turkey	30.39715	37.57375	1445	A	Responsible author has checked locations and assures these are correct (BD)		scattered trees/shrubs		Open herbacious vegetation aboce Quercus coccifera maquis	moss				f			EMPD2
Bakker_b12	SpectNum12	Aglasun	Turkey	30.5527	37.628	1221	A	Responsible author has checked locations and assures these are correct (BD)				Pinus brutia plantation	moss				f			EMPD2
Bakker_b13	SpectNum13	Sagalassos	Turkey	30.508317	37.667383	1522	A	Responsible author has checked locations and assures these are correct (BD)		open forest		Herbacious alpine vegetation above open Cedrus woodland	moss				f			EMPD2
Bakker_b14	SpectNum14	Sagalassos	Turkey	30.508533	37.668117	1447	A	Responsible author has checked locations and assures these are correct (BD)		open forest		Herbacious vegetation beneath open Cedrus woodland	moss				f			EMPD2
Bakker_b15	SpectNum15	Sagalassos	Turkey	30.512317	37.6785	1528	A	Responsible author has checked locations and assures these are correct (BD)		treeless vegetation		Herbacious vegetation on limestone	moss				f			EMPD2
Bakker_b16	SpectNum16	Canakli	Turkey	30.578883	37.580683	1124	A	Responsible author has checked locations and assures these are correct (BD)		open forest		Open herbacious vegetation in Quercus coccifera maquis	moss				f			EMPD2
Bakker_b17	SpectNum17	Canakli	Turkey	30.594717	37.560917	1158	A	Responsible author has checked locations and assures these are correct (BD)		open forest		Overgrazed Quercus coccifera maquis	moss				f			EMPD2
Bakker_b18	SpectNum18	Sagalassos	Turkey	30.513733	37.685083	1774	A	Responsible author has checked locations and assures these are correct (BD)		treeless vegetation		Herbacious alpine vegetation	moss				f			EMPD2
Bakker_b19	SpectNum19	Sagalassos	Turkey	30.517417	37.68305	1822	A	Responsible author has checked locations and assures these are correct (BD)		treeless vegetation		Herbacious alpine vegetation	moss				f			EMPD2
Bakker_b2	SpectNum2	Canakli	Turkey	30.5904	37.579883	1055	A	Responsible author has checked locations and assures these are correct (BD)		scattered trees/shrubs		Herbacious vegetation near mixed fields (grain and sunflower)	moss				f			EMPD2
Bakker_b20	SpectNum20	Sagalassos	Turkey	30.52795	37.675517	1495	A	Responsible author has checked locations and assures these are correct (BD)		treeless vegetation		Herbacious vegetation on limestone	moss				f			EMPD2
Bakker_b21	SpectNum21	Baskoy	Turkey	30.4995	37.63625	1350	A	Responsible author has checked locations and assures these are correct (BD)		treeless vegetation		Overgrazed herbacious vegetation	moss				f			EMPD2
Barboni_a1361	Spai91ss13	Gallocanta	Spain	-1.499444	40.967917	990			1449.21	lake							f	No coordinates available. Site identified using Google earth.		EMPD2
Bakker_b22	SpectNum22	Hisarkoy	Turkey	30.725467	37.622017	837	D	Author reports that no correct coordinated are available. Temporarily used coordinates from reference paper. (MZ)		orchard		Olive plantation	moss				f	Location data not correct in original thesis (JB)		EMPD2
Bakker_b23	SpectNum23	Sagalassos	Turkey	30.515467	37.675267	1453	A	Responsible author has checked locations and assures these are correct (BD)		open forest		Herbacious vegetation in Quercus coccifera woodland	moss				f			EMPD2
Bakker_b24	SpectNum24	Aglasun	Turkey	30.55915	37.62145	1239	A	Responsible author has checked locations and assures these are correct (BD)		closed forest		Quercus coccifera/Juniperus maquis	moss				f			EMPD2
Bakker_b25	SpectNum25	Canakli	Turkey	30.560267	37.56605	1270	A	Responsible author has checked locations and assures these are correct (BD)		closed forest		Quercus coccifera woodland	moss				f			EMPD2
Bakker_b26	SpectNum26	Canakli	Turkey	30.576183	37.551	1348	A	Responsible author has checked locations and assures these are correct (BD)		closed forest		Cedrus forest	moss				f			EMPD2
Bakker_b27	SpectNum27	Canakli	Turkey	30.57835	37.54915	1400	A	Responsible author has checked locations and assures these are correct (BD)		closed forest		Cedrus forest	moss				f			EMPD2
Bakker_b28	SpectNum28	Canakli	Turkey	30.5998	37.553233	1232	A	Responsible author has checked locations and assures these are correct (BD)		closed forest		Cedrus forest	moss				f			EMPD2
Bakker_b29	SpectNum29	Derekoy	Turkey	30.656633	37.627283	1400	A	Responsible author has checked locations and assures these are correct (BD)		treeless vegetation		Herbacious vegetation in Pinus/abies forest	moss				f			EMPD2
Bakker_b3	SpectNum3	Baskoy	Turkey	30.4737	37.641917	1341	A	Responsible author has checked locations and assures these are correct (BD)		scattered trees/shrubs		Open herbacious vegetation between Quercus coccifera maquis and grain fields	moss				f			EMPD2
Bakker_b30	SpectNum30	Derekoy	Turkey	30.503267	37.634767	1040	A	Responsible author has checked locations and assures these are correct (BD)		closed forest		Pinus forest	moss				f			EMPD2
Bakker_b31	SpectNum31	Derekoy	Turkey	30.65485	37.633733	1036	A	Responsible author has checked locations and assures these are correct (BD)		treeless vegetation		Herbacious vegetation in Pinus forest	moss				f			EMPD2
Bakker_b32	SpectNum32	Derekoy	Turkey	30.6594	37.6289	1254	A	Responsible author has checked locations and assures these are correct (BD)		closed forest		Pinus forest	moss				f			EMPD2
Bakker_b33	SpectNum33	Derekoy	Turkey	30.655767	37.629433	1244	A	Responsible author has checked locations and assures these are correct (BD)		closed forest		Pinus forest	moss				f			EMPD2
Bakker_b34	SpectNum34	Derekoy	Turkey	30.657117	37.628817	1356	A	Responsible author has checked locations and assures these are correct (BD)		closed forest		Pinus forest	moss				f			EMPD2
Bakker_b35	SpectNum35	Derekoy	Turkey	30.660033	37.637583	1056	A	Responsible author has checked locations and assures these are correct (BD)		closed forest		Pinus forest	moss				f			EMPD2
Bakker_b36	SpectNum36	Baskoy	Turkey	30.494233	37.678367	1369	D	Author reports that no correct coordinated are available. Temporarily used coordinates from reference paper. (MZ)		treeless vegetation		Degraded stand of isolated Pinus tree	moss				f	Location data not correct in original thesis (JB)		EMPD2
Bakker_b37	SpectNum37	Canakli	Turkey	30.556167	37.586133	1020	A	Responsible author has checked locations and assures these are correct (BD)		sparse/no vegetation		Herbacious vegetation at seasonal lake	moss				f			EMPD2
Bakker_b38	SpectNum38	Canakli	Turkey	30.559867	37.58135	1020	A	Responsible author has checked locations and assures these are correct (BD)		sparse/no vegetation		Herbacious vegetation at seasonal lake	moss				f			EMPD2
Bakker_b39	SpectNum39	Canakli	Turkey	30.546717	37.590217	1020	A	Responsible author has checked locations and assures these are correct (BD)		sparse/no vegetation		Herbacious vegetation at seasonal lake	moss				f			EMPD2
Bakker_b4	SpectNum4	Baskoy	Turkey	30.51635	37.671017	1164	D	Author reports that no correct coordinated are available. Temporarily used coordinates from reference paper. (MZ)		scattered trees/shrubs		Herbacious vegetation in populus plantation	moss				f	Location data not correct in original thesis (JB)		EMPD2
Bakker_b40	SpectNum40	Gravgaz	Turkey	30.399433	37.581233	1215	A	Responsible author has checked locations and assures these are correct (BD)		sparse/no vegetation		Herbacious vegetation near marsh	moss				f			EMPD2
Bakker_b41	SpectNum41	Gravgaz	Turkey	30.404017	37.585483	1215	A	Responsible author has checked locations and assures these are correct (BD)		sparse/no vegetation		Herbacious vegetation near marsh	moss				f			EMPD2
Bakker_b42	SpectNum42	Gravgaz	Turkey	30.402167	37.58045	1215	A	Responsible author has checked locations and assures these are correct (BD)		sparse/no vegetation		Herbacious vegetation near marsh	moss				f			EMPD2
Bakker_b43	SpectNum43	Gravgaz	Turkey	30.4037	37.581883	1215	A	Responsible author has checked locations and assures these are correct (BD)		sparse/no vegetation		Herbacious vegetation near marsh	moss				f			EMPD2
Bakker_b44	SpectNum44	Kayaalti	Turkey	30.346933	37.619717	1150	A	Responsible author has checked locations and assures these are correct (BD)		closed forest		Quercus cerris woodland	moss				f			EMPD2
Bakker_b45	SpectNum45	Kayaalti	Turkey	30.336433	37.619717	1150	A	Responsible author has checked locations and assures these are correct (BD)		closed forest		Quercus cerris woodland	moss				f			EMPD2
Bakker_b46	SpectNum46	Aglasun (Duzen Tepe)	Turkey	30.510183	37.659433	1404	A	Responsible author has checked locations and assures these are correct (BD)					moss				f			EMPD2
Bakker_b47	SpectNum47	Sagalassos	Turkey	30.5306	37.6806	1568	A	Responsible author has checked locations and assures these are correct (BD)		open forest		Herbacious vegetation amonf Cedrus	moss				f			EMPD2
Bakker_b48	SpectNum48	Sagalassos	Turkey	30.503733	37.67705	1529	A	Responsible author has checked locations and assures these are correct (BD)		treeless vegetation		Herbacious vegetation among the ruins of Sagalassos	moss				f			EMPD2
Bakker_b49	SpectNum49	Sagalassos	Turkey	30.527383	37.677083	1525	A	Responsible author has checked locations and assures these are correct (BD)		treeless vegetation		Herbacious vegetation among Cedrus/Pinus woodland	moss				f			EMPD2
Bakker_b5	SpectNum5	Baskoy	Turkey	30.497367	37.636717	1214	A	Responsible author has checked locations and assures these are correct (BD)		arable		Harvested grain field	moss				f			EMPD2
Bakker_b50	SpectNum50	Canakli	Turkey	30.57835	37.552933	1258	A	Responsible author has checked locations and assures these are correct (BD)		open forest		Open herbacious vegetation beneath Cedrus forest	moss				f			EMPD2
Barboni_a1362	Spai91ss14	Laguna Grande (San Martin)	Spain	-4.4833	42.56101	980											f			EMPD2
Bakker_b51	SpectNum51	Canakli	Turkey	30.579367	37.5498	1402	A	Responsible author has checked locations and assures these are correct (BD)		open forest		Open herbacious vegetation above Cedrus forest	moss				f			EMPD2
Bakker_b52	SpectNum52	Sagalassos	Turkey	30.507883	37.667317	1488	A	Responsible author has checked locations and assures these are correct (BD)		open forest		Herbacious vegetation above open Cedrus woodland	moss				f			EMPD2
Bakker_b53	SpectNum53	Canakli	Turkey	30.584133	37.555667	1182	A	Responsible author has checked locations and assures these are correct (BD)		open forest		Herbacious vegetation beneath Cedrus forest	moss				f			EMPD2
Bakker_b54	SpectNum54	Baskoy	Turkey	30.494983	37.63465	1237	D	Author reports that no correct coordinated are available. Temporarily used coordinates from reference paper. (MZ)		treeless vegetation		Open place in maquis	moss				f	Location data not correct in original thesis (JB)		EMPD2
Bakker_b55	SpectNum55	Baskoy	Turkey	30.4954	37.633017	1269	A	Responsible author has checked locations and assures these are correct (BD)		open forest		Open place in Quercus coccifera maquis	moss				f			EMPD2
Bakker_b56	SpectNum56	Baskoy	Turkey	30.492883	37.658367	1397	A	Responsible author has checked locations and assures these are correct (BD)		open forest		Open place in Quercus coccifera maquis	moss				f			EMPD2
Bakker_b57	SpectNum57	Baskoy	Turkey	30.4759	37.6618	1349	A	Responsible author has checked locations and assures these are correct (BD)		treeless vegetation		Herbacious vegetation near fields	moss				f			EMPD2
Bakker_b58	SpectNum58	Aglasun	Turkey	30.550783	37.630067	1246	A	Responsible author has checked locations and assures these are correct (BD)		treeless vegetation		Open Maquis vegetation	moss				f			EMPD2
